dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae
feats20_snr3_N10000,20,3,10000,0,sklearn_fixed,1.3412829000153579,0.7062321585942557,2.8667902129315013,2.2841686016163725
feats20_snr3_N10000,20,3,10000,1,sklearn_fixed,0.9025429000030272,0.705361715591793,2.8832186875917984,2.279876837005649
feats20_snr3_N10000,20,3,10000,2,sklearn_fixed,0.872392299992498,0.6964769401846058,2.9132065431939442,2.307780544016207
feats20_snr3_N10000,20,3,10000,3,sklearn_fixed,0.7766505000181496,0.6867920650838382,2.9555602015631495,2.350596975988753
feats20_snr3_N10000,20,3,10000,4,sklearn_fixed,1.0455952000047546,0.6985336264515233,2.923352005943821,2.317036528458182
feats20_snr3_N10000,20,3,10000,5,sklearn_fixed,0.8816839000210166,0.6984944249481281,2.9040101041678614,2.3060507424920558
feats20_snr3_N10000,20,3,10000,6,sklearn_fixed,1.1363060000003316,0.6916791670458237,2.92079642887817,2.327125757250215
feats20_snr3_N10000,20,3,10000,7,sklearn_fixed,0.7863438999920618,0.6955972900741056,2.969096006511354,2.3580590751418637
feats20_snr3_N10000,20,3,10000,8,sklearn_fixed,1.1730555999965873,0.7026232249254813,2.898857188080895,2.30099081347647
feats20_snr3_N10000,20,3,10000,9,sklearn_fixed,1.4467874999972992,0.6987230487644526,2.918136785563356,2.3289700049022217
feats20_snr3_N500000,20,3,500000,0,sklearn_fixed,27.976258199982112,0.7454669606825541,2.3351816659402176,1.862992950269517
feats20_snr3_N500000,20,3,500000,1,sklearn_fixed,33.58441340000718,0.746790451132455,2.3305622712295664,1.8605539948167842
feats20_snr3_N500000,20,3,500000,2,sklearn_fixed,42.30277689997456,0.7447545116509897,2.34027283194873,1.8671549286283982
feats20_snr3_N500000,20,3,500000,3,sklearn_fixed,32.0458049000008,0.7460096507758551,2.3348008570033985,1.8632338105532358
feats20_snr3_N500000,20,3,500000,4,sklearn_fixed,35.32838260001154,0.7463700744023513,2.334823631357786,1.862716243329385
feats20_snr3_N500000,20,3,500000,5,sklearn_fixed,37.834105599991744,0.7458668086837481,2.3348850553854534,1.8618842056667102
feats20_snr3_N500000,20,3,500000,6,sklearn_fixed,30.354038499994203,0.7453192721586278,2.3390710707107556,1.8657836379957269
feats20_snr3_N500000,20,3,500000,7,sklearn_fixed,28.112639500002842,0.7464834769441764,2.333792332483081,1.8630237665598393
feats20_snr3_N500000,20,3,500000,8,sklearn_fixed,27.71569370001089,0.74624390214256,2.334586861530094,1.8637353883719705
feats20_snr3_N500000,20,3,500000,9,sklearn_fixed,30.094559699995443,0.7465197059500284,2.3342303754659723,1.8613287787621837
feats5_snr10_N100000,5,10,100000,0,sklearn_fixed,6.678402499994263,0.9085106064205453,0.950312132092972,0.7586133181486358
