dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae,best_params
feats10_snr3_N500000,10,3,500000,8,xgboost,1.0017591000068933,0.7414253093990981,1.0826800249165682,0.86341881166517,
feats10_snr3_N500000,10,3,500000,9,xgboost,0.9852370999287814,0.7430385523622642,1.0799402841017796,0.860721032375936,
feats20_snr10_N100000,20,10,100000,0,xgboost,0.5354616000549868,0.8767504681015312,1.5945511357590538,1.2675978092376439,
feats20_snr10_N100000,20,10,100000,1,xgboost,0.4743760999990627,0.875808310694772,1.5927913206736746,1.2639950844528847,
feats20_snr10_N100000,20,10,100000,2,xgboost,0.47120260004885495,0.8767499017811751,1.586299647033222,1.2600127659494855,
feats20_snr10_N100000,20,10,100000,3,xgboost,0.4716850999975577,0.877000274533977,1.5924842763735054,1.2654849765900926,
feats20_snr10_N100000,20,10,100000,4,xgboost,0.47799489996396005,0.8753391569891462,1.5932047467123207,1.2637465229301175,
feats20_snr10_N100000,20,10,100000,5,xgboost,0.47539799998048693,0.8758668665769346,1.594549435227869,1.265813929145264,
feats20_snr10_N100000,20,10,100000,6,xgboost,0.4736251001013443,0.8765888880940016,1.589343316080716,1.2641481754224404,
feats20_snr10_N100000,20,10,100000,7,xgboost,0.5006717999931425,0.8762680689880693,1.58899650835771,1.2629854816624477,
feats20_snr10_N100000,20,10,100000,8,xgboost,0.48565879999659956,0.8768623838448035,1.5919808148623231,1.2665669999186235,
feats20_snr10_N100000,20,10,100000,9,xgboost,0.4765511000296101,0.8754544494928368,1.5962796165139574,1.2672849462619151,
feats20_snr10_N10000,20,10,10000,0,xgboost,0.23006159998476505,0.8399997828722378,2.029205755090121,1.6022516522303016,
feats20_snr10_N10000,20,10,10000,1,xgboost,0.22131629998330027,0.8472684545087822,1.9882179650279093,1.5608572056148262,
feats20_snr10_N10000,20,10,10000,2,xgboost,0.22179879993200302,0.8393630791232621,2.0417248469965155,1.6129586793978559,
feats20_snr10_N10000,20,10,10000,3,xgboost,0.22660329996142536,0.8440549171148874,2.0258045794925863,1.5996878435206439,
feats20_snr10_N10000,20,10,10000,4,xgboost,0.2225510000716895,0.84224055111941,2.0017341417278094,1.5867263642682181,
feats20_snr10_N10000,20,10,10000,5,xgboost,0.22519739996641874,0.8390515446412841,2.0641345416015584,1.6213078785457546,
feats20_snr10_N10000,20,10,10000,6,xgboost,0.2233745000557974,0.8386961408739088,2.0773532381715376,1.6377045289046053,
feats20_snr10_N10000,20,10,10000,7,xgboost,0.2214860999956727,0.8430206469792173,2.0137524634390083,1.577494111458279,
feats20_snr10_N10000,20,10,10000,8,xgboost,0.22087149997241795,0.8423471938966766,2.0411825122768024,1.605853752367408,
feats20_snr10_N10000,20,10,10000,9,xgboost,0.22448979993350804,0.8454247988901287,1.988003864230465,1.5753441664471404,
feats20_snr10_N500000,20,10,500000,0,xgboost,1.4680844000540674,0.8824461502331973,1.3943607939692977,1.10617753115314,
feats20_snr10_N500000,20,10,500000,1,xgboost,1.3782337999437004,0.884428881730851,1.382648690499059,1.0991001828884812,
feats20_snr10_N500000,20,10,500000,2,xgboost,1.3395767000038177,0.8839893865391236,1.3844926027516016,1.0996767021185412,
feats20_snr10_N500000,20,10,500000,3,xgboost,1.3519339000340551,0.8835063054950383,1.3900333615681604,1.104615983555513,
feats20_snr10_N500000,20,10,500000,4,xgboost,1.3633981000166386,0.8833924889867407,1.3850072446492183,1.1005706763186067,
feats20_snr10_N500000,20,10,500000,5,xgboost,1.3681415999308228,0.8833294513427223,1.3890974978956483,1.1029340482811159,
feats20_snr10_N500000,20,10,500000,6,xgboost,1.3520867000333965,0.884682824460856,1.3809886813387813,1.0974406597690556,
feats20_snr10_N500000,20,10,500000,7,xgboost,1.3323310000123456,0.8833093297867673,1.3864332738364493,1.1014475669166166,
feats20_snr10_N500000,20,10,500000,8,xgboost,1.3879027999937534,0.8833129220126503,1.3858247602858278,1.1012061258174026,
feats20_snr10_N500000,20,10,500000,9,xgboost,1.3666129999328405,0.883958402276512,1.3855287869096635,1.1010275089203894,
feats20_snr3_N100000,20,3,100000,0,xgboost,0.5359479000326246,0.7258648583574789,2.1580992003646187,1.7181921355260736,
feats20_snr3_N100000,20,3,100000,1,xgboost,0.47871309996116906,0.7271727112033325,2.153966342914737,1.7185334821225813,
