dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae,best_params
feats10_snr3_N100000,10,3,100000,0,torch_mlp_cuda,14.047113499953412,0.7452653190584024,1.8181792107476697,1.4480631351470947,
feats10_snr3_N100000,10,3,100000,1,torch_mlp_cuda,14.01080719998572,0.7433129360622441,1.8068040598584079,1.4432061910629272,
feats10_snr3_N100000,10,3,100000,2,torch_mlp_cuda,13.633009499986656,0.7437185075765764,1.8087879842844143,1.4446699619293213,
feats10_snr3_N100000,10,3,100000,3,torch_mlp_cuda,14.229757299995981,0.7462979972549718,1.8087740122394798,1.4436606168746948,
feats10_snr3_N100000,10,3,100000,4,torch_mlp_cuda,14.141895500011742,0.7437651277330085,1.805928319777988,1.4411821365356445,
feats10_snr3_N100000,10,3,100000,5,torch_mlp_cuda,14.120042499969713,0.7419942771874076,1.8126633011488673,1.4457260370254517,
feats10_snr3_N100000,10,3,100000,6,torch_mlp_cuda,13.789851000066847,0.745275632724723,1.8022882936674145,1.439442753791809,
feats10_snr3_N100000,10,3,100000,7,torch_mlp_cuda,14.071240599965677,0.7417047791316091,1.8097928976156725,1.4423729181289673,
feats10_snr3_N100000,10,3,100000,8,torch_mlp_cuda,14.609520900063217,0.7449511397433164,1.804201200946137,1.4375227689743042,
feats10_snr3_N100000,10,3,100000,9,torch_mlp_cuda,14.583121899981052,0.7416737188995105,1.8182610998424613,1.4507768154144287,
feats10_snr3_N10000,10,3,10000,0,torch_mlp_cuda,2.000067900051363,0.736150199102003,1.493992298218716,1.19035005569458,
feats10_snr3_N10000,10,3,10000,1,torch_mlp_cuda,2.213954900042154,0.7267152220100361,1.5030335904122272,1.1936148405075073,
feats10_snr3_N10000,10,3,10000,2,torch_mlp_cuda,1.9829800000879914,0.7358860990570552,1.4957789794624108,1.2005228996276855,
feats10_snr3_N10000,10,3,10000,3,torch_mlp_cuda,2.102327000000514,0.7342140626802214,1.4864671920302102,1.1877837181091309,
