dataset,round,method,train_time,adj_r2,rmse,mae,nan_detected
feats20_snr10_N10000,8,torch_MP,0.09479619999183342,0.8925150252892133,1.6854097348115051,1.3405470848083496,False
feats20_snr10_N10000,9,torch_MP,0.14471280001453124,0.8878742374313671,1.6931676701111136,1.3517206907272339,False
feats20_snr10_N500000,0,torch_MP,1.2942694000084884,0.9036195659550278,1.2625560521439425,1.0070374011993408,False
feats20_snr10_N500000,1,torch_MP,1.773892600002,0.9027296570201764,1.268460946440831,1.0113168954849243,False
feats20_snr10_N500000,2,torch_MP,2.2989692999981344,0.9036090746982435,1.2620020214765897,1.0065391063690186,False
feats20_snr10_N500000,3,torch_MP,3.061736600007862,0.905876378351938,1.249462107321565,0.9973101615905762,False
feats20_snr10_N500000,4,torch_MP,3.4811427000095136,0.901215399087828,1.2747750775776432,1.015221357345581,False
feats20_snr10_N500000,5,torch_MP,1.4703492000116967,0.9043039416319673,1.2580526845267581,1.0029780864715576,False
feats20_snr10_N500000,6,torch_MP,1.473609699984081,0.9033773729077841,1.264103622616379,1.0071327686309814,False
feats20_snr10_N500000,7,torch_MP,3.944490099995164,0.903805964591191,1.2587953601380724,1.0044162273406982,False
feats20_snr10_N500000,8,torch_MP,1.4115019000018947,0.9037434343163796,1.2586701117188241,1.0041157007217407,False
feats20_snr10_N500000,9,torch_MP,1.8889789000095334,0.9042023671912822,1.2588845654017102,1.0033153295516968,False
feats20_snr3_N100000,0,torch_MP,0.2839793000021018,0.7376437975236945,2.111227733614347,1.6796311140060425,False
feats20_snr3_N100000,1,torch_MP,0.22302399997715838,0.732243661981482,2.1338526386767307,1.7051275968551636,False
feats20_snr3_N100000,2,torch_MP,0.2483178999973461,0.7389071464822412,2.101397426319225,1.675186038017273,False
feats20_snr3_N100000,3,torch_MP,0.32240299999830313,0.7346474059384807,2.124878374994792,1.6955070495605469,False
feats20_snr3_N100000,4,torch_MP,0.34031850000610575,0.7193811393403791,2.1795055901424427,1.73896062374115,False
feats20_snr3_N100000,5,torch_MP,0.27094400001806207,0.7391062460325591,2.1061549722758843,1.6813093423843384,False
feats20_snr3_N100000,6,torch_MP,0.15363580000121146,0.7352996224348503,2.119503317176795,1.6889054775238037,False
feats20_snr3_N100000,7,torch_MP,0.26668770000105724,0.7410114957575547,2.101646336581434,1.676679015159607,False
