dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae
feats20_snr10_N100000,20,10,100000,7,LR,0.037449699942953885,0.8595451209799005,1.6929746785836917,1.336301952918002
feats20_snr10_N100000,20,10,100000,8,LR,0.03694120002910495,0.8606949087730508,1.6932689838361432,1.338281401991229
feats20_snr10_N100000,20,10,100000,9,LR,0.032974399975501,0.8600192071759455,1.6923067401896779,1.3369723131119513
feats20_snr10_N10000,20,10,10000,0,LR,0.005404999945312738,0.8702952998723843,1.8270214927126316,1.4503060348943375
feats20_snr10_N10000,20,10,10000,1,LR,0.004077199962921441,0.8724690748916691,1.8168010637017187,1.435893376135104
feats20_snr10_N10000,20,10,10000,2,LR,0.00540500006172806,0.8703165510118013,1.834496150133418,1.4529647945073696
feats20_snr10_N10000,20,10,10000,3,LR,0.00486839993391186,0.8735217579821686,1.8243981199803447,1.4470151737696433
feats20_snr10_N10000,20,10,10000,4,LR,0.005500799976289272,0.8741203808097653,1.78807782218894,1.4102895938058868
feats20_snr10_N10000,20,10,10000,5,LR,0.005164700094610453,0.8739894326153302,1.8264091678074503,1.4388994731683358
feats20_snr10_N10000,20,10,10000,6,LR,0.004751999978907406,0.8756045889190233,1.8242743515605062,1.4402387474600054
feats20_snr10_N10000,20,10,10000,7,LR,0.004487899946980178,0.8713271407238076,1.823174731704389,1.4350978462168438
feats20_snr10_N10000,20,10,10000,8,LR,0.004177400027401745,0.8730340351804708,1.8317856178676435,1.4405134276169407
feats20_snr10_N10000,20,10,10000,9,LR,0.003472800017334521,0.8700639347195148,1.8226873094716483,1.4489732238677684
feats20_snr10_N500000,20,10,500000,0,LR,0.19762929994612932,0.8475659324830582,1.5878071525880713,1.2487312729904283
feats20_snr10_N500000,20,10,500000,1,LR,0.18586229998618364,0.8478838032816433,1.5862619911444986,1.2480664623475524
feats20_snr10_N500000,20,10,500000,2,LR,0.1630922999465838,0.847622595838038,1.5867264578412714,1.247875817032998
feats20_snr10_N500000,20,10,500000,3,LR,0.20277610002085567,0.8481464232765933,1.5870350820469317,1.2486900299005386
feats20_snr10_N500000,20,10,500000,4,LR,0.14705429994501173,0.8467280027208389,1.5878891848623868,1.2496600744282336
feats20_snr10_N500000,20,10,500000,5,LR,0.18483259994536638,0.8476714505751471,1.5872405942005328,1.2485297808930127
feats20_snr10_N500000,20,10,500000,6,LR,0.16597279999405146,0.8478704256936161,1.5861707821708961,1.2480737265642001
feats20_snr10_N500000,20,10,500000,7,LR,0.16888220002874732,0.8471980248290765,1.586519409632512,1.2483631542926226
feats20_snr10_N500000,20,10,500000,8,LR,0.17692199989687651,0.8468648289576962,1.5875755734304358,1.2489630229253437
feats20_snr10_N500000,20,10,500000,9,LR,0.1753766000038013,0.8478379094714107,1.5865798588840425,1.2482009036508366
feats20_snr3_N100000,20,3,100000,0,LR,0.02992680005263537,0.6891131554641273,2.2982127007603097,1.8235340536409512
feats20_snr3_N100000,20,3,100000,1,LR,0.034332600072957575,0.6917363001169133,2.2895820023474904,1.8203566004599456
